date,home,away,actual,model_prob_home,model_prob_draw,model_prob_away,implied_prob_home,implied_prob_draw,implied_prob_away,log_loss,flagged_value,flagged_side,edge,pnl,home_known,away_known
2020-12-26,Aston Villa,Crystal Palace,H,0.45721410202267215,0.26799690604221893,0.27478899193510875,0.4983388704318937,0.25249169435215946,0.24916943521594684,0.7826035032181022,False,,0.025619556719161912,,True,True
2020-12-26,Arsenal,Chelsea,H,0.310535399068667,0.26694633899434816,0.422518261936985,0.23717059639389737,0.2635228848821082,0.49930651872399445,1.1694573774444956,True,H,0.07336480267476964,3.0,True,True
2020-12-26,Sheffield United,Everton,A,0.27888443663870666,0.3170818580827601,0.4040337052785333,0.2253807106598985,0.2629441624365483,0.5116751269035533,0.9062569755937241,True,D,0.05413769564621185,-1.0,True,True
2020-12-26,Man City,Newcastle,H,0.8121595554701314,0.12991486974873617,0.057925574781132486,0.8551239929789819,0.094918763220667,0.049957243800351055,0.20805846123904498,False,,0.03499610652806917,,True,True
2020-12-27,Wolves,Tottenham,D,0.29577402375413653,0.3022734092287585,0.4019525670171047,0.2644026109166588,0.29287673824614513,0.4427206508371961,1.1964233425979571,False,,0.03137141283747774,,True,True
2020-12-27,Liverpool,West Brom,D,0.9150446612881455,0.06414737282169436,0.020807965890159964,0.8551239929789819,0.094918763220667,0.049957243800351055,2.7465721424349643,True,H,0.05992066830916365,-1.0,True,True
2020-12-27,Leeds,Burnley,H,0.49834306472863915,0.24259671179948603,0.25906022347187485,0.5472768867149485,0.2353290612874278,0.21739405199762382,0.6964665541325697,False,,0.04166617147425103,,True,True
2020-12-27,West Ham,Brighton,D,0.503072366143992,0.26463097190198115,0.23229666195402698,0.41349548842683415,0.2797175362887407,0.3067869752844253,1.329418982367554,True,H,0.08957687771715783,-1.0,True,True
2020-12-28,Chelsea,Aston Villa,D,0.5871434065603309,0.21428139829602066,0.19857519514364835,0.5863956215793589,0.2247849882720876,0.1888193901485536,1.5404651824352242,False,,0.009755804995094763,,True,True
2020-12-28,Crystal Palace,Leicester,D,0.1781333644185364,0.2446847907529598,0.5771818448285038,0.25339366515837103,0.27149321266968324,0.4751131221719457,1.407784465132296,True,A,0.10206872265655809,-1.0,True,True
2020-12-29,West Brom,Leeds,A,0.1574545615388483,0.1900608124360486,0.6524846260251033,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.42696770171021986,True,A,0.1788004154987875,1.0,True,True
2020-12-29,Southampton,West Ham,D,0.449526734473399,0.251735594367421,0.2987376711591801,0.45434298440979953,0.2650334075723831,0.2806236080178174,1.3793759709971858,False,,0.018114063141362713,,True,True
2020-12-29,Man United,Wolves,H,0.533472577103927,0.25867429139394005,0.20785313150213275,0.621470932916652,0.22639298270535177,0.1521360843779964,0.6283476114285036,True,A,0.05571704712413636,-1.0,True,True
