bets,wins,win_rate,stake,profit,roi,avg_odds,avg_ev,max_drawdown,roi_ci_low,roi_ci_high,p_roi_le_0,model,strategy,ev_threshold
2551,561,0.21991375931007448,2551.0,-71.37,-0.027977263818110547,6.372806742453939,0.45335586536689804,-174.63000000000002,-0.11401308142225186,0.053625453389671944,0.7362,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.1
2090,431,0.20622009569377991,2090.0,-48.73000000000001,-0.023315789473684217,6.861382775119616,0.5261449800080323,-109.65,-0.10699386353404688,0.06174871648239929,0.7024,Team + Market + Elo/Rest + sigmoid,all_qualifying,0.15
3175,925,0.29133858267716534,3175.0,-207.39,-0.06531968503937008,4.418192125984252,0.2795664653584483,-269.2299999999999,-0.13258768767791604,0.003385995462558995,0.9674,Team + Market + isotonic,argmax,0.0
3011,871,0.28927266688807707,3011.0,-176.54999999999995,-0.05863500498173363,4.499345732314846,0.2942356156333387,-247.29999999999995,-0.12512241321896775,0.009529657186005267,0.953,Team + Market + isotonic,argmax,0.02
2690,742,0.2758364312267658,2690.0,-201.23000000000002,-0.07480669144981414,4.666661710037174,0.32520593982742513,-268.41999999999985,-0.15324284408773486,0.008149662206789742,0.9612,Team + Market + isotonic,argmax,0.05
2129,546,0.2564584311883513,2129.0,-143.1,-0.06721465476749647,5.038802254579614,0.391225187298834,-200.85000000000002,-0.1371755428473258,0.004596813949126595,0.9644,Team + Market + isotonic,argmax,0.1
1717,421,0.24519510774606873,1717.0,-71.59,-0.04169481654047758,5.427268491555038,0.4554203665684732,-130.34000000000006,-0.10935553358240509,0.03649504895044882,0.8632,Team + Market + isotonic,argmax,0.15
3906,1148,0.2939068100358423,3906.0,-201.20999999999998,-0.05151305683563748,4.514815668202765,0.24621748089416423,-285.9300000000001,-0.10467048671240067,0.010472007179246642,0.947,Team + Market + isotonic,all_qualifying,0.0
3582,1041,0.29061976549413737,3582.0,-163.82999999999998,-0.04573701842546063,4.638020658849804,0.2676234697595384,-264.84999999999997,-0.10643207675765096,0.02561729284225906,0.9004,Team + Market + isotonic,all_qualifying,0.02
3056,833,0.27257853403141363,3056.0,-230.62,-0.07546465968586387,4.8502912303664925,0.3077532485671902,-295.6199999999997,-0.14785292035731884,0.011472837029996349,0.9586,Team + Market + isotonic,all_qualifying,0.05
2324,584,0.2512908777969019,2324.0,-163.31,-0.0702710843373494,5.284569707401033,0.3813937009929483,-211.91000000000008,-0.13554517335104077,0.0016495943869202338,0.9728,Team + Market + isotonic,all_qualifying,0.1
1850,444,0.24,1850.0,-80.32,-0.04341621621621621,5.7219945945945945,0.44749424974701923,-134.27,-0.10707476435741056,0.035126545026486176,0.8762,Team + Market + isotonic,all_qualifying,0.15
3135,850,0.2711323763955343,3135.0,-83.30999999999997,-0.02657416267942583,4.936118022328548,0.28899416642208703,-157.63000000000005,-0.08086020837598043,0.03165261168679594,0.8228,Team + Market + sigmoid,argmax,0.0
2908,762,0.2620357634112792,2908.0,-100.0,-0.0343878954607978,5.0850103163686375,0.3107470889459678,-168.71000000000006,-0.09380020666295492,0.030597358344493213,0.858,Team + Market + sigmoid,argmax,0.02
2589,648,0.25028968713789107,2589.0,-72.72999999999999,-0.028091927385090764,5.3359598300502125,0.34464522049996393,-160.05000000000007,-0.09980346356959922,0.04710311850439909,0.7714,Team + Market + sigmoid,argmax,0.05
2049,474,0.23133235724743778,2049.0,-58.010000000000005,-0.028311371400683263,5.863045387994144,0.4159177988715367,-151.91,-0.12151310152809337,0.06447816650188651,0.7238,Team + Market + sigmoid,argmax,0.1
1640,354,0.21585365853658536,1640.0,-17.790000000000006,-0.01084756097560976,6.413841463414634,0.48860627905275217,-113.37,-0.11705588376143816,0.08657073053936665,0.5794,Team + Market + sigmoid,argmax,0.15
3934,1009,0.25648195221148956,3934.0,-152.77,-0.03883324860193188,5.29899593289273,0.2668079006221877,-228.49000000000018,-0.09288575086267345,0.017514569947630083,0.9108,Team + Market + sigmoid,all_qualifying,0.0
3554,875,0.2462014631401238,3554.0,-142.12,-0.039988745075970736,5.516159257175014,0.2942994021003714,-214.57000000000008,-0.09563798590753034,0.019764648792563184,0.905,Team + Market + sigmoid,all_qualifying,0.02
3074,725,0.2358490566037736,3074.0,-81.80000000000001,-0.02661027976577749,5.826249186727391,0.3348029022718369,-173.89000000000004,-0.09224181290514138,0.04223069880988708,0.791,Team + Market + sigmoid,all_qualifying,0.05
2385,516,0.21635220125786164,2385.0,-101.61,-0.04260377358490566,6.401937106918239,0.4101332378733113,-175.45000000000005,-0.12624012653836875,0.04062043795620439,0.8412,Team + Market + sigmoid,all_qualifying,0.1
1901,383,0.20147290899526565,1901.0,-73.74,-0.03879011046817464,6.986617569700157,0.48295768582207066,-136.75,-0.1334979517583501,0.052725163933350506,0.7948,Team + Market + sigmoid,all_qualifying,0.15
